,state_id,county_name
592,6,Cheboygan
593,17,Deschutes
594,47,Sussex
595,10,Butler
596,47,New Castle
597,41,Anne Arundel
598,44,Bennington
599,1,Osage
600,6,Mackinac
601,0,Fremont
602,6,Jackson
603,2,Waseca
604,26,Howard
605,36,Palm Beach
606,12,Edgecombe
607,45,Custer
608,20,Onondaga
609,5,Twin Falls
610,16,Fairfield
611,28,Valley
612,26,Llano
613,28,Lancaster
614,4,Vilas
615,18,Grand Forks
616,31,Macon
617,12,New Hanover
618,26,Johnson
619,9,Barnstable
620,40,Penobscot
621,33,Yakima
622,11,Santa Fe
623,19,Orange
624,12,Stanly
625,13,Oconee
626,2,Lake of the Woods
627,6,Branch
628,2,Watonwan
629,19,Merced
630,30,Marengo
631,2,Traverse
632,20,Dutchess
633,18,Williams
634,32,Boone
635,41,Worcester
636,12,Wake
637,12,Surry
638,0,Morgan
639,18,Golden Valley
640,21,Clinton
641,3,Ouachita
642,0,Mineral
643,20,Franklin
644,35,San Juan
645,27,Screven
646,33,Clark
647,36,Hillsborough
648,30,Barbour
649,19,Humboldt
650,1,Atoka
651,13,Dorchester
652,4,Polk
653,15,Wise
654,32,Miller
655,21,Portage
656,32,Sevier
657,32,Baxter
658,0,Weld
659,12,Ashe
660,17,Malheur
661,5,Bonner
662,31,Randolph
663,25,Winneshiek
664,26,Parker
665,43,Calloway
666,11,San Juan
667,2,Kandiyohi
668,6,Hillsdale
669,17,Lane
670,7,Saline
671,42,Atlantic
672,1,Lincoln
673,10,Platte
674,4,Sauk
675,39,Bucks
676,28,Sarpy
677,34,Starke
678,26,Gray
679,31,Winnebago
680,8,Big Horn
681,34,Boone
682,26,Lee
683,2,Beltrami
684,2,Cottonwood
685,2,Washington
686,6,Dickinson
687,29,McMinn
688,26,Gonzales
689,0,Montezuma
690,15,Loudoun
691,0,Denver
692,3,Iberia
693,16,Hartford
694,29,Dyer
695,26,Deaf Smith
696,28,Madison
697,39,Lancaster
698,27,Glynn
699,19,Ventura
700,7,Labette
701,34,Shelby
702,31,LaSalle
703,26,Rusk
704,13,Greenville
705,26,Smith
706,34,Marion
707,26,Milam
708,18,Pembina
709,28,Richardson
710,26,Hopkins
711,26,Brazos
712,28,York
713,2,Lac qui Parle
714,38,Hancock
715,15,Hanover
716,6,Lenawee
717,24,Pershing
718,25,Marion
719,6,Washtenaw
720,3,Morehouse
721,28,Red Willow
722,34,LaPorte
723,26,Grayson
724,37,Upshur
725,4,Pierce
726,21,Butler
727,36,Citrus
728,6,Marquette
729,29,Blount
730,12,Hyde
731,0,Larimer
732,2,Lyon
733,43,Pulaski
734,2,Wright
735,13,Charleston
736,31,Saline
737,26,Brewster
738,39,Montgomery
739,28,Keith
740,1,Pontotoc
741,32,Lawrence
742,6,Livingston
743,2,Crow Wing
744,27,Macon-Bibb County
745,2,McLeod
746,30,Montgomery
747,2,Wadena
748,13,Richland
749,41,Garrett
750,26,Hill
751,31,Pike
752,34,Vanderburgh
753,12,Dare
754,41,Queen Anne's
755,33,Cowlitz
756,6,Genesee
757,4,Oneida
758,26,Hidalgo
759,26,Wharton
760,6,Tuscola
761,30,Dale
762,13,Orangeburg
763,21,Defiance
764,13,Chesterfield
765,25,Des Moines
766,20,Warren
767,25,Jones
768,19,Santa Barbara
769,0,Las Animas
770,5,Lemhi
771,43,Hopkins
772,26,Winkler
773,8,Uinta
774,28,Adams
775,23,Pinal
776,31,Clay
777,12,Cherokee
778,35,Weber
779,12,Pasquotank
780,42,Morris
781,26,Bee
782,31,Kane
783,8,Crook
784,27,Union
785,13,Georgetown
786,34,Lake
787,9,Bristol
788,36,Gadsden
789,2,Koochiching
790,25,Webster
791,15,Bath
792,7,Morton
793,6,Alger
794,25,Cerro Gordo
795,8,Converse
796,17,Yamhill
797,9,Middlesex
798,37,Grant
799,25,Audubon
800,38,Jackson
801,43,Jefferson
802,13,Horry
803,26,Andrews
804,26,Gregg
805,28,Washington
806,33,King
807,30,Conecuh
808,4,Sheboygan
809,0,Prowers
810,31,Christian
811,5,Valley
812,7,Shawnee
813,0,Yuma
814,12,Craven
815,36,Miami-Dade
816,4,Barron
817,15,Henrico
818,6,Berrien
819,1,Custer
820,3,Webster
821,2,Pipestone
822,41,Prince George's
823,41,Dorchester
824,1,Haskell
825,25,Poweshiek
826,15,Accomack
827,43,Laurel
